,0,1,2,3,4
0.0001,113031.0012988022,97867.53466707296,82874.92033534232,68908.20427799725,63300.471788309354
0.001,113031.00129880218,97867.53466707293,82874.92033534197,68908.20427795761,63300.47179451166
0.01,113031.00129880213,97867.53466707212,82874.92033534135,68908.20428088742,63300.47255154173
0.1,113031.00129880193,97867.53466706439,82874.92033558928,68908.20464269389,63300.54897732065
1.0,113031.00129879992,97867.53466702433,82874.92036356426,68908.2413997119,63307.59731450885
10.0,113031.0012987877,97867.53467034467,82874.92318980886,68911.81372982493,63665.50668035471
