MSE_train, MSE_test, R2_train, R2_test, error, bias, variance
1.225448317608613979e+04,1.234675426267988405e+04,3.415868320101056455e-02,3.470023327653237732e-02,1.234805086237838987e+04,1.234721074464049343e+04,8.401177378969078013e-01
5.718400616516117225e+03,5.689918258525136480e+03,5.493022837374323952e-01,5.551481263191706539e-01,5.690687779348595541e+03,5.690070322563405171e+03,6.174567851902512672e-01
3.792967498620049355e+03,3.751219760488271277e+03,7.010559588027454048e-01,7.067203669329501503e-01,3.751826368728809484e+03,3.751086649405964636e+03,7.397193228446486968e-01
3.503096264953956506e+03,3.480361332326209322e+03,7.239022600300832888e-01,7.278967483492571056e-01,3.481174147516078847e+03,3.480135097401736857e+03,1.039050114341632858e+00
1.877306007566177186e+03,1.862041763355329522e+03,8.520394797292898392e-01,8.544209723822494551e-01,1.863057654594150790e+03,1.862323180879653592e+03,7.344737144971154041e-01
